Alder,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hackberry,Hemlock,Hickory,Ironwood,Maple,Oak,Pine,Poplar,Spruce,Sycamore,Tamarack,Walnut,Willow
1.54E-15,1.54E-15,3.96E-13,2.77E-13,5.03E-14,3.18E-15,3.18E-15,0.02740213,4.37E-13,6.52E-14,3.09E-11,1.39E-05,6.39E-14,8.76E-14,0.195982334,3.73E-14,0.000398452,3.94E-14,1.15E-14,1.34E-13,7.40E-14,0.017471134
1.59E-15,1.59E-15,3.96E-13,2.71E-13,5.13E-14,3.51E-15,3.20E-15,0.125870098,4.18E-13,6.58E-14,3.10E-11,1.18E-05,6.89E-14,8.54E-14,0.901228546,4.36E-14,0.008056101,3.73E-14,1.18E-14,1.49E-13,7.39E-14,0.02768896
1.65E-15,1.65E-15,3.94E-13,2.65E-13,5.22E-14,3.88E-15,3.22E-15,0.550323451,4.01E-13,6.64E-14,3.10E-11,1.02E-05,7.38E-14,8.22E-14,3.027947731,5.08E-14,0.190738911,3.53E-14,1.21E-14,0.001982953,7.38E-14,0.047014706
1.71E-15,1.71E-15,0.000124794,2.58E-13,5.31E-14,4.28E-15,3.23E-15,1.67794439,3.83E-13,6.70E-14,3.10E-11,9.08E-06,7.85E-14,7.83E-14,5.819455809,5.89E-14,1.918997355,3.34E-14,1.24E-14,1.81E-13,7.37E-14,0.07954749
1.77E-15,1.77E-15,0.092461156,2.52E-13,5.39E-14,4.74E-15,3.24E-15,2.530900261,3.67E-13,6.76E-14,3.09E-11,7.95E-06,8.27E-14,7.42E-14,5.023483556,6.80E-14,3.001664704,3.17E-14,1.27E-14,1.98E-13,7.36E-14,0.122686889
1.83E-15,1.83E-15,0.000152259,2.45E-13,5.46E-14,5.25E-15,3.24E-15,1.096779351,3.51E-13,6.82E-14,3.09E-11,6.54E-06,8.65E-14,7.02E-14,1.151292005,7.82E-14,0.154194715,3.00E-14,1.30E-14,2.15E-13,7.34E-14,0.15175511
1.90E-15,1.90E-15,1.36E-10,2.39E-13,5.52E-14,1.59E-06,3.24E-15,0.329407499,3.35E-13,6.88E-14,3.08E-11,5.28E-06,8.96E-14,6.65E-14,0.20260261,8.93E-14,0.00409726,2.84E-14,1.33E-14,2.32E-13,7.33E-14,0.164090575
2.58E-15,2.58E-15,6.73E-14,1.76E-13,5.56E-14,1.53E-14,2.97E-15,2.442376966,2.19E-13,7.46E-14,2.97E-11,3.31E-06,8.23E-14,4.87E-14,0.536405524,2.09E-13,0.000141009,1.84E-14,1.64E-14,3.40E-13,7.35E-14,0.014712091
2.67E-15,2.67E-15,5.64E-14,1.68E-13,5.51E-14,1.71E-14,2.91E-15,0.47077153,2.09E-13,7.52E-14,2.95E-11,3.22E-06,1.06E-07,4.78E-14,0.259559224,2.18E-13,6.51E-05,1.77E-14,1.68E-14,3.43E-13,7.37E-14,0.008595968
2.76E-15,2.76E-15,4.77E-14,1.61E-13,5.45E-14,1.91E-14,2.85E-15,0.086463704,2.00E-13,7.59E-14,2.94E-11,3.06E-06,0.055886338,4.70E-14,0.28619256,2.25E-13,0.000326816,1.70E-14,1.72E-14,3.45E-13,7.39E-14,0.00538774
2.85E-15,2.85E-15,0.000216008,1.54E-13,5.40E-14,2.13E-14,2.79E-15,0.01858057,1.91E-13,7.66E-14,2.92E-11,2.88E-06,1.38E-09,4.62E-14,0.58721311,2.29E-13,0.009059054,1.65E-14,1.76E-14,3.44E-13,7.41E-14,0.003604408
