"","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX","site.name","age_bacon","site_index_pol"
"371",270,23,13,29,17,3,47,1,2,0,11,1,3,0,0,0,0,0,0,0,0,0,"Third Lake",4584.2,"66"
"372",263,39,16,61,28,6,41,2,3,0,1,0,7,0,2,3,0,0,0,0,0,0,"Third Lake",5343.54,"66"
"373",292,41,17,37,19,1,39,4,7,0,6,0,3,2,0,3,0,0,0,0,1,0,"Third Lake",5750.7,"66"
"374",215,38,20,43,20,3,44,1,7,0,1,0,2,0,5,7,0,0,0,0,0,0,"Third Lake",6172.84,"66"
"375",327,59,25,30,21,6,30,0,7,0,6,1,2,4,5,2,0,0,0,0,0,0,"Third Lake",6762.54,"66"
"376",200,63,8,15,19,10,27,2,1,0,7,0,3,6,6,5,0,0,1,0,0,0,"Third Lake",7043.3,"66"
"377",170,39,7,31,15,3,19,1,3,0,8,0,5,0,3,1,1,0,0,0,0,0,"Third Lake",7603.34,"66"
"378",208,42,9,53,30,8,43,0,3,0,4,0,0,0,4,5,1,0,0,0,1,0,"Third Lake",8423.78,"66"
"379",228,63,2,51,17,1,29,1,6,0,14,1,0,0,0,0,2,0,1,0,0,0,"Third Lake",8966.56,"66"
"380",319,39,15,36,22,12,5,6,16,0,22,1,2,7,2,4,0,0,1,0,4,0,"Third Lake",9769.16,"66"
"384",15,34,144,3,14,72,1,0,3,0,2,1,2,0,1,6,1,0,2,0,0,0,"Stone Lake Tamarack Swamp",439.56,"67"
"385",78,54,65,8,34,186,4,1,3,1,7,0,3,0,1,20,0,0,0,0,2,0,"Stone Lake Tamarack Swamp",805.88,"67"
"386",38,70,88,2,23,138,7,5,5,0,2,2,3,0,1,7,0,0,0,1,0,1,"Stone Lake Tamarack Swamp",1172.5,"67"
"387",40,67,116,10,19,78,10,1,3,0,2,2,0,1,0,1,0,0,0,0,0,1,"Stone Lake Tamarack Swamp",1274.24,"67"
"388",48,252,48,2,33,42,4,0,2,0,1,3,1,0,0,3,0,0,0,1,0,0,"Stone Lake Tamarack Swamp",1575.9,"67"
