"","X","dataset","lat","long","in.calib.sample","biomass","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"73",73,"1830",46.068333,-93.68,1,113.0173277922,233,15,52,174,10,0,31,6,9,20,3,9,2,6,0,1,1,0,0,1,2,0
"74",74,"1831",46.341585,-94.408,1,1.02629005715223,31,89,84.5,9,40,36.5,9,11,3,1,2.5,1,7,5,4,4,0,0,0,2,0,0
"75",75,"1840",45.933333,-89.625,0,26.8094652734035,77,62,205,38,25,6,35,15,15,0,2,3,5,1,1,5,4,0,4,3,2,2
"76",76,"1884",45.780556,-93.273056,1,127.216980694905,113,22,14,84,44,3,8,3,1,65,2,8,3,3,0,0,5,0,2,1,3,1
"77",77,"1891",46.966667,-95.316667,1,0.184754521576357,35.5,200,43,13,76,67,3,3,5,0,0.5,1,0,0,4,5,0,0,0,1,0,0
"78",78,"1955",44.60587,-93.563475,1,14.3206251835699,97,108,144,30,52,70,16,11,10,1,0,0,2,0,1,3,3,0,3,0,1,0
"79",79,"1966",47.081,-94.113,1,0.96808857474315,50,233,223,38,57,59,13,55,15,0,4,2,8,3,4,16,0.5,0,4,8,0.5,3
"80",80,"19834",43.6774,-94.698115,1,17.8770448842509,177.5,136,216,81,48.5,38,40,28,12,1.5,5.5,6,9,18,11,7,7.5,1,2,3,0.5,0
"81",81,"19937",41.75738,-86.52208,0,8.5700475284809,82,102,144,26,32,19,17,15,20,0,4,4,7,1,4,1,3,0,4,2,0,0
"82",82,"2011",43.4,-88.1,1,10.8350162998048,54,355,71,39,21,7,12,9,2,0,1,1,2,1,15,2,17,0,1,0,0,1
"83",83,"20397",46.565795,-86.0752,1,8.64016804017918,94,72,128,24,13,22,24,27,17,1,3,5,9,2,1,2,4,0,0,5,1,1
"84",84,"205",46.7,-85.040278,1,14.3899397440889,53,71,74,27,39,18,16,2,4,0,2,3,0,1,0,0,4,0,1,1,0,1
"85",85,"2051",47.190745,-95.77364,1,14.3899397440889,95,57,109,36,122,60,13,22,23,1,11,3,10,5,0,3,12,0,1,2,0,1
"86",86,"20512",43.60373,-82.86388,1,8.5700475284809,106,106,135,27,19,15,20,24,9,0,2,4,9,0,4,2,1,0,3,1,0,1
"87",87,"2053",46.211944,-95.284167,1,2.51769947269099,31,89,119,21,20,15,9,26,5,0,1,3,6,1,2,5,0,0,1,8,0,0
"88",88,"2062",47.6,-96.166667,0,16.0274389407915,110,53,106,36,5,30,30,3,7,0,0,3,5,0,0,4,0,0,0,0,0,1
"89",89,"223",47.123935,-95.397205,0,33.1049078946188,196,70,104,53,12,14,17,34,13,0,3,2,5,6,5,1,4,0,0,3,1,0
"90",90,"2309",45.283333,-91.458333,1,147.047219958012,71,7,31,92,5,2,4,5,6,25,13,5,2,2,43,3,4,7,0,1,3,0
"91",91,"2314",44.87083,-93.858975,1,0.249156035001838,52.5,118,47,16,13,55,6,6,6,0,2,1,2,1,1,6,0,0,0,0,0,0
"92",92,"2354",47.208889,-95.833333,0,93.8280147922655,234,81,18,8,34,11,12,6,22,0,3,5,1,1,0,5,0,0,1,0,1,2
"93",93,"2375",47.916667,-91.866667,0,103.267133435993,143,26,39,35,5,3,5,16,12,1,2,10,12,11,0,5,11,0,1,8,0,1
"94",94,"2383",44.895835,-94.20414,0,0.012832131739856,47,186,55,12,36,22,11,3,9,0,3,3,10,1,1,6,0,0,0,2,1,1
"95",95,"2394",47.133333,-93.683333,1,114.869502172115,177,34,73,27,1292,11,23,3,11,0,2,1,2,2,0,1,3,0,0,1,0,0
"96",96,"241",46.128056,-93.703889,1,99.3022284885842,157,6,13,41,8,1,4,1,3,9,3,0,2,0,0,0,2,0,0,1,1,0
"97",97,"249",45.425,-93.183333,1,42.6426083005673,269,14,56,86,28,5,14,9,8,3,8,7,10,6,0,1,4,1,1,2,1,1
