"","name","ID","sigma","group"
"324","Camp 11 Lake",3466,0.27,6
"325","Camp 11 Lake",3467,0.03,7
"326","Camp 11 Lake",3468,0.06,7
"327","Camp 11 Lake",3469,0.09,7
"328","Camp 11 Lake",3470,0.12,7
"329","Camp 11 Lake",3471,0.15,7
"330","Camp 11 Lake",3472,0.18,7
"331","Camp 11 Lake",3473,0.21,7
"332","Camp 11 Lake",3474,0.24,7
"333","Camp 11 Lake",3475,0.27,7
"334","Camp 11 Lake",3476,0.03,8
"335","Camp 11 Lake",3477,0.06,8
"336","Camp 11 Lake",3478,0.09,8
"337","Camp 11 Lake",3479,0.12,8
"338","Camp 11 Lake",3480,0.15,8
"339","Camp 11 Lake",3481,0.18,8
"340","Camp 11 Lake",3482,0.21,8
"341","Camp 11 Lake",3483,0.24,8
"342","Camp 11 Lake",3484,0.27,8
"343","Camp 11 Lake",3485,0.03,9
"344","Camp 11 Lake",3486,0.06,9
"345","Camp 11 Lake",3487,0.09,9
"346","Camp 11 Lake",3488,0.12,9
"347","Camp 11 Lake",3489,0.15,9
"348","Camp 11 Lake",3490,0.18,9
"349","Camp 11 Lake",3491,0.21,9
"350","Camp 11 Lake",3492,0.24,9
"351","Camp 11 Lake",3493,0.27,9
"352","Camp 11 Lake",3494,0.03,10
"353","Camp 11 Lake",3495,0.06,10
"354","Camp 11 Lake",3496,0.09,10
"355","Camp 11 Lake",3497,0.12,10
"356","Camp 11 Lake",3498,0.15,10
"357","Camp 11 Lake",3499,0.18,10
"358","Camp 11 Lake",3500,0.21,10
"359","Camp 11 Lake",3501,0.24,10
"360","Camp 11 Lake",3502,0.27,10
"361","Canyon Lake",3503,0.03,1
"362","Canyon Lake",3504,0.06,1
"363","Canyon Lake",3505,0.09,1
"364","Canyon Lake",3506,0.12,1
"365","Canyon Lake",3507,0.15,1
"366","Canyon Lake",3508,0.18,1
"367","Canyon Lake",3509,0.21,1
"368","Canyon Lake",3510,0.24,1
"369","Canyon Lake",3511,0.27,1
"370","Canyon Lake",3512,0.03,2
"371","Canyon Lake",3513,0.06,2
"372","Canyon Lake",3514,0.09,2
"373","Canyon Lake",3515,0.12,2
"374","Canyon Lake",3516,0.15,2
"375","Canyon Lake",3517,0.18,2
"376","Canyon Lake",3518,0.21,2
"377","Canyon Lake",3519,0.24,2
"378","Canyon Lake",3520,0.27,2
"379","Canyon Lake",3521,0.03,3
"380","Canyon Lake",3522,0.06,3
"381","Canyon Lake",3523,0.09,3
"382","Canyon Lake",3524,0.12,3
"383","Canyon Lake",3525,0.15,3
"384","Canyon Lake",3526,0.18,3
"385","Canyon Lake",3527,0.21,3
"386","Canyon Lake",3528,0.24,3
"387","Canyon Lake",3529,0.27,3
"388","Canyon Lake",3530,0.03,4
"389","Canyon Lake",3531,0.06,4
"390","Canyon Lake",3532,0.09,4
"391","Canyon Lake",3533,0.12,4
"392","Canyon Lake",3534,0.15,4
"393","Canyon Lake",3535,0.18,4
"394","Canyon Lake",3536,0.21,4
"395","Canyon Lake",3537,0.24,4
"396","Canyon Lake",3538,0.27,4
"397","Canyon Lake",3539,0.03,5
"398","Canyon Lake",3540,0.06,5
"399","Canyon Lake",3541,0.09,5
"400","Canyon Lake",3542,0.12,5
"401","Canyon Lake",3543,0.15,5
"402","Canyon Lake",3544,0.18,5
"403","Canyon Lake",3545,0.21,5
"404","Canyon Lake",3546,0.24,5
"405","Canyon Lake",3547,0.27,5
"406","Canyon Lake",3548,0.03,6
"407","Canyon Lake",3549,0.06,6
"408","Canyon Lake",3550,0.09,6
"409","Canyon Lake",3551,0.12,6
"410","Canyon Lake",3552,0.15,6
"411","Canyon Lake",3553,0.18,6
"412","Canyon Lake",3554,0.21,6
"413","Canyon Lake",3555,0.24,6
"414","Canyon Lake",3556,0.27,6
"415","Canyon Lake",3557,0.03,7
"416","Canyon Lake",3558,0.06,7
"417","Canyon Lake",3559,0.09,7
"418","Canyon Lake",3560,0.12,7
"419","Canyon Lake",3561,0.15,7
"420","Canyon Lake",3562,0.18,7
"421","Canyon Lake",3563,0.21,7
"422","Canyon Lake",3564,0.24,7
"423","Canyon Lake",3565,0.27,7
"424","Canyon Lake",3566,0.03,8
"425","Canyon Lake",3567,0.06,8
"426","Canyon Lake",3568,0.09,8
"427","Canyon Lake",3569,0.12,8
"428","Canyon Lake",3570,0.15,8
"429","Canyon Lake",3571,0.18,8
"430","Canyon Lake",3572,0.21,8
"431","Canyon Lake",3573,0.24,8
"432","Canyon Lake",3574,0.27,8
"433","Canyon Lake",3575,0.03,9
"434","Canyon Lake",3576,0.06,9
"435","Canyon Lake",3577,0.09,9
"436","Canyon Lake",3578,0.12,9
"437","Canyon Lake",3579,0.15,9
"438","Canyon Lake",3580,0.18,9
"439","Canyon Lake",3581,0.21,9
"440","Canyon Lake",3582,0.24,9
"441","Canyon Lake",3583,0.27,9
"442","Canyon Lake",3584,0.03,10
"443","Canyon Lake",3585,0.06,10
"444","Canyon Lake",3586,0.09,10
"445","Canyon Lake",3587,0.12,10
"446","Canyon Lake",3588,0.15,10
"447","Canyon Lake",3589,0.18,10
"448","Canyon Lake",3590,0.21,10
"449","Canyon Lake",3591,0.24,10
"450","Canyon Lake",3592,0.27,10
"451","Capitola Lake",3593,0.03,1
"452","Capitola Lake",3594,0.06,1
"453","Capitola Lake",3595,0.09,1
"454","Capitola Lake",3596,0.12,1
"455","Capitola Lake",3597,0.15,1
"456","Capitola Lake",3598,0.18,1
"457","Capitola Lake",3599,0.21,1
"458","Capitola Lake",3600,0.24,1
"459","Capitola Lake",3601,0.27,1
"460","Capitola Lake",3602,0.03,2
"461","Capitola Lake",3603,0.06,2
"462","Capitola Lake",3604,0.09,2
"463","Capitola Lake",3605,0.12,2
"464","Capitola Lake",3606,0.15,2
"465","Capitola Lake",3607,0.18,2
"466","Capitola Lake",3608,0.21,2
"467","Capitola Lake",3609,0.24,2
"468","Capitola Lake",3610,0.27,2
"469","Capitola Lake",3611,0.03,3
"470","Capitola Lake",3612,0.06,3
"471","Capitola Lake",3613,0.09,3
"472","Capitola Lake",3614,0.12,3
"473","Capitola Lake",3615,0.15,3
"474","Capitola Lake",3616,0.18,3
"475","Capitola Lake",3617,0.21,3
"476","Capitola Lake",3618,0.24,3
"477","Capitola Lake",3619,0.27,3
"478","Capitola Lake",3620,0.03,4
"479","Capitola Lake",3621,0.06,4
"480","Capitola Lake",3622,0.09,4
"481","Capitola Lake",3623,0.12,4
"482","Capitola Lake",3624,0.15,4
"483","Capitola Lake",3625,0.18,4
"484","Capitola Lake",3626,0.21,4
"485","Capitola Lake",3627,0.24,4
"486","Capitola Lake",3628,0.27,4
"487","Capitola Lake",3629,0.03,5
"488","Capitola Lake",3630,0.06,5
"489","Capitola Lake",3631,0.09,5
"490","Capitola Lake",3632,0.12,5
"491","Capitola Lake",3633,0.15,5
"492","Capitola Lake",3634,0.18,5
"493","Capitola Lake",3635,0.21,5
"494","Capitola Lake",3636,0.24,5
"495","Capitola Lake",3637,0.27,5
"496","Capitola Lake",3638,0.03,6
"497","Capitola Lake",3639,0.06,6
"498","Capitola Lake",3640,0.09,6
"499","Capitola Lake",3641,0.12,6
"500","Capitola Lake",3642,0.15,6
"501","Capitola Lake",3643,0.18,6
"502","Capitola Lake",3644,0.21,6
"503","Capitola Lake",3645,0.24,6
"504","Capitola Lake",3646,0.27,6
"505","Capitola Lake",3647,0.03,7
"506","Capitola Lake",3648,0.06,7
"507","Capitola Lake",3649,0.09,7
"508","Capitola Lake",3650,0.12,7
"509","Capitola Lake",3651,0.15,7
"510","Capitola Lake",3652,0.18,7
"511","Capitola Lake",3653,0.21,7
"512","Capitola Lake",3654,0.24,7
"513","Capitola Lake",3655,0.27,7
"514","Capitola Lake",3656,0.03,8
"515","Capitola Lake",3657,0.06,8
"516","Capitola Lake",3658,0.09,8
"517","Capitola Lake",3659,0.12,8
"518","Capitola Lake",3660,0.15,8
"519","Capitola Lake",3661,0.18,8
"520","Capitola Lake",3662,0.21,8
"521","Capitola Lake",3663,0.24,8
"522","Capitola Lake",3664,0.27,8
"523","Capitola Lake",3665,0.03,9
"524","Capitola Lake",3666,0.06,9
"525","Capitola Lake",3667,0.09,9
"526","Capitola Lake",3668,0.12,9
"527","Capitola Lake",3669,0.15,9
"528","Capitola Lake",3670,0.18,9
"529","Capitola Lake",3671,0.21,9
"530","Capitola Lake",3672,0.24,9
"531","Capitola Lake",3673,0.27,9
"532","Capitola Lake",3674,0.03,10
"533","Capitola Lake",3675,0.06,10
"534","Capitola Lake",3676,0.09,10
"535","Capitola Lake",3677,0.12,10
"536","Capitola Lake",3678,0.15,10
"537","Capitola Lake",3679,0.18,10
"538","Capitola Lake",3680,0.21,10
"539","Capitola Lake",3681,0.24,10
"540","Capitola Lake",3682,0.27,10
"541","Cedar Bog",3683,0.03,1
"542","Cedar Bog",3684,0.06,1
"543","Cedar Bog",3685,0.09,1
"544","Cedar Bog",3686,0.12,1
"545","Cedar Bog",3687,0.15,1
"546","Cedar Bog",3688,0.18,1
"547","Cedar Bog",3689,0.21,1
"548","Cedar Bog",3690,0.24,1
"549","Cedar Bog",3691,0.27,1
"550","Cedar Bog",3692,0.03,2
"551","Cedar Bog",3693,0.06,2
"552","Cedar Bog",3694,0.09,2
"553","Cedar Bog",3695,0.12,2
"554","Cedar Bog",3696,0.15,2
"555","Cedar Bog",3697,0.18,2
"556","Cedar Bog",3698,0.21,2
"557","Cedar Bog",3699,0.24,2
"558","Cedar Bog",3700,0.27,2
"559","Cedar Bog",3701,0.03,3
"560","Cedar Bog",3702,0.06,3
"561","Cedar Bog",3703,0.09,3
"562","Cedar Bog",3704,0.12,3
"563","Cedar Bog",3705,0.15,3
"564","Cedar Bog",3706,0.18,3
"565","Cedar Bog",3707,0.21,3
"566","Cedar Bog",3708,0.24,3
"567","Cedar Bog",3709,0.27,3
"568","Cedar Bog",3710,0.03,4
"569","Cedar Bog",3711,0.06,4
"570","Cedar Bog",3712,0.09,4
"571","Cedar Bog",3713,0.12,4
"572","Cedar Bog",3714,0.15,4
"573","Cedar Bog",3715,0.18,4
"574","Cedar Bog",3716,0.21,4
